Feature,Importance
Area,0.0005247587402257482
MajorAxisLength,-0.05902146387693108
MinorAxisLength,-0.09918627102142567
Eccentricity,-0.0004158798354681049
ConvexArea,-0.00036192856799320913
Extent,-0.0006486914975838167
Perimeter,0.03296546482296079
