Feature,Importance
Area,0.15250137331464478
MajorAxisLength,0.2593662709763724
MinorAxisLength,0.082781521033693
Eccentricity,0.07989229140059582
ConvexArea,0.14273839169060903
Extent,0.05883684001141561
Perimeter,0.2238833115726694
