accuracy,precision,recall,f1_score,auc,Model,Run,Type
0.9666666666666668,0.9668142030073702,0.9666666666666668,0.966664032713696,0.9666666666666668,RandomForestClassifier,run_5,overall
0.8566666666666667,0.856964577845214,0.8566666666666667,0.8566367550760591,0.8566666666666666,SVC,run_5,overall
0.8722222222222222,0.873197142163974,0.8722222222222222,0.8721387177551759,0.8722222222222222,LogisticRegression,run_5,overall
0.9733333333333334,0.973342683312263,0.9733333333333334,0.9733332016454402,0.9733333333333332,RandomForestClassifier,run_9,overall
0.8555555555555555,0.8556187766714082,0.8555555555555555,0.8555491355171341,0.8555555555555556,SVC,run_9,overall
0.8544444444444445,0.8549510165124548,0.8544444444444445,0.8543924931240899,0.8544444444444443,LogisticRegression,run_9,overall
0.9711111111111111,0.9711111111111111,0.9711111111111111,0.9711111111111111,0.971111111111111,RandomForestClassifier,run_2,overall
0.8644444444444445,0.8646245059288538,0.8644444444444445,0.8644277071243364,0.8644444444444443,SVC,run_2,overall
0.8644444444444445,0.8656651339781196,0.8644444444444445,0.8643312196351522,0.8644444444444443,LogisticRegression,run_2,overall
0.9733333333333334,0.9733707354655184,0.9733333333333334,0.9733328065739568,0.9733333333333334,RandomForestClassifier,run_3,overall
0.8455555555555555,0.8481707044019524,0.8455555555555555,0.8452649976066169,0.8455555555555555,SVC,run_3,overall
0.8644444444444445,0.8647975324264473,0.8644444444444445,0.8644116354080741,0.8644444444444443,LogisticRegression,run_3,overall
0.9655555555555556,0.9656130386467464,0.9655555555555556,0.9655544924226056,0.9655555555555556,RandomForestClassifier,run_10,overall
0.8711111111111111,0.8712284376296706,0.8711111111111111,0.8711009264929575,0.8711111111111111,SVC,run_10,overall
0.8722222222222222,0.8727542022936438,0.8722222222222222,0.8721766161013004,0.8722222222222223,LogisticRegression,run_10,overall
0.9766666666666668,0.9766878527934576,0.9766666666666668,0.9766664074045268,0.9766666666666668,RandomForestClassifier,run_1,overall
0.8555555555555555,0.8556679641960917,0.8555555555555555,0.8555441417593489,0.8555555555555556,SVC,run_1,overall
0.8555555555555555,0.8562592775853538,0.8555555555555555,0.8554841897233202,0.8555555555555556,LogisticRegression,run_1,overall
0.9733333333333334,0.9735671936758894,0.9733333333333334,0.9733300407457712,0.9733333333333334,RandomForestClassifier,run_4,overall
0.8633333333333333,0.8644582043343654,0.8633333333333333,0.8632277992277994,0.8633333333333333,SVC,run_4,overall
0.87,0.8703090480450351,0.87,0.8699728708829373,0.87,LogisticRegression,run_4,overall
0.9733333333333334,0.9734174964438124,0.9733333333333334,0.973332148095471,0.9733333333333334,RandomForestClassifier,run_7,overall
0.8733333333333333,0.8733997155049787,0.8733333333333333,0.8733277034534869,0.8733333333333334,SVC,run_7,overall
0.8766666666666667,0.8770856507230257,0.8766666666666667,0.8766323978883023,0.8766666666666665,LogisticRegression,run_7,overall
0.9711111111111111,0.971194879089616,0.9711111111111111,0.9711098271034267,0.9711111111111111,RandomForestClassifier,run_6,overall
0.8688888888888889,0.869151396548657,0.8688888888888889,0.8688655761024182,0.8688888888888889,SVC,run_6,overall
0.8677777777777778,0.8691065613988134,0.8677777777777778,0.867658670581301,0.8677777777777778,LogisticRegression,run_6,overall
0.9711111111111111,0.9711483376464312,0.9711111111111111,0.97111054045512,0.9711111111111111,RandomForestClassifier,run_8,overall
0.8577777777777778,0.8579545454545455,0.8577777777777778,0.8577602173107791,0.8577777777777778,SVC,run_8,overall
0.8555555555555555,0.8559000316355583,0.8555555555555555,0.8555205951069641,0.8555555555555556,LogisticRegression,run_8,overall
