Epoch, Loss, Val_Loss
1, 0.058897580951452255, 0.02410777099430561
2, 0.01431034691631794, 0.009494788944721222
3, 0.00791875645518303, 0.007568719331175089
4, 0.006909994408488274, 0.007087034173309803
5, 0.006681574508547783, 0.007012395653873682
6, 0.006623105611652136, 0.006969567388296127
7, 0.006616394035518169, 0.006992470007389784
8, 0.006615329068154097, 0.006973047275096178
9, 0.006598306819796562, 0.006968117784708738
10, 0.006587568204849958, 0.006957247853279114
11, 0.006588817108422518, 0.006923043634742498
12, 0.006612795405089855, 0.006967983208596706
13, 0.006583402398973703, 0.00694712158292532
14, 0.006601358763873577, 0.006976874079555273
15, 0.006588598247617483, 0.006961311213672161
16, 0.006585458759218454, 0.006967672146856785
17, 0.006581178400665522, 0.006919528357684612
18, 0.006583475507795811, 0.006959451362490654
19, 0.006592445075511932, 0.006960038095712662
20, 0.006599900778383017, 0.0069305612705647945
21, 0.006583480164408684, 0.006995789241045713
22, 0.0065920487977564335, 0.006906238850206137
23, 0.006582976784557104, 0.006949158385396004
24, 0.006596246734261513, 0.006981790065765381
25, 0.006622005719691515, 0.006927182897925377
26, 0.006603050045669079, 0.007010702975094318
27, 0.006600655149668455, 0.006963417399674654
28, 0.006560108624398708, 0.0069395327009260654
29, 0.006555388681590557, 0.006960810627788305
30, 0.006555377971380949, 0.006917494349181652
31, 0.006556245964020491, 0.006908137816935778
32, 0.006581904832273722, 0.006907795090228319
33, 0.006526743061840534, 0.006931790150702
34, 0.0065355440601706505, 0.006892362609505653
35, 0.006528838071972132, 0.006910725962370634
36, 0.006495361216366291, 0.006844512186944485
37, 0.006447553634643555, 0.006827591452747583
38, 0.006389799062162638, 0.006689232774078846
39, 0.006204037461429834, 0.006494798231869936
40, 0.005972656887024641, 0.006264777388423681
41, 0.005749869160354137, 0.006152286659926176
42, 0.005608151666820049, 0.0060659474693238735
43, 0.005553953815251589, 0.006119295489042997
44, 0.005536310374736786, 0.006056919693946838
45, 0.005535987205803394, 0.006087842397391796
46, 0.005522573366761208, 0.006118469871580601
47, 0.005501084495335817, 0.006047337781637907
48, 0.005504363216459751, 0.0060875387862324715
49, 0.00549698481336236, 0.0060627697966992855
50, 0.005492206662893295, 0.005993408616632223
