0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,0.3,0.375,0.4375,0.5375,0.625,0.675,0.7375,0.8625,0.875,0.9,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
0.0,0.2375,0.375,0.425,0.4875,0.5875,0.6625,0.7625,0.7875,0.825,0.8375,0.8875,0.925,0.9375,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
0.0,0.2625,0.4125,0.575,0.625,0.65,0.6875,0.75,0.8,0.8125,0.8375,0.85,0.875,0.9125,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.3125,0.4125,0.5625,0.65,0.725,0.775,0.8125,0.825,0.85,0.8625,0.9125,0.925,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
0.0,0.275,0.4125,0.5125,0.55,0.625,0.675,0.7,0.7625,0.9125,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
0.0,0.2625,0.425,0.525,0.65,0.7375,0.775,0.8,0.825,0.8375,0.875,0.8875,0.925,0.95,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
0.0,0.3125,0.4375,0.4875,0.575,0.65,0.6875,0.75,0.8,0.8125,0.8625,0.9,0.925,0.9375,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
0.0,0.3,0.3875,0.4625,0.525,0.625,0.7125,0.825,0.85,0.875,0.9,0.925,0.95,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
0.0,0.2875,0.3875,0.5,0.5875,0.625,0.7125,0.8125,0.8375,0.875,0.9,0.925,0.95,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
0.0,0.2875,0.4375,0.475,0.575,0.6625,0.725,0.75,0.8,0.8625,0.875,0.925,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
