accuracy,precision,recall,f1_score,auc,Model,Run,Type
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_5,train
0.8638888888888889,0.8641698841698842,0.8638888888888889,0.863862627821725,0.8638888888888888,SVC,run_5,train
0.8791666666666667,0.8800140745953554,0.8791666666666667,0.8790992663734218,0.8791666666666668,LogisticRegression,run_5,train
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_9,train
0.85,0.8500108028025557,0.85,0.849998842583662,0.85,SVC,run_9,train
0.85,0.8506927263730827,0.85,0.8499258893280632,0.85,LogisticRegression,run_9,train
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_2,train
0.8652777777777778,0.8655062191647558,0.8652777777777778,0.8652567241409247,0.8652777777777777,SVC,run_2,train
0.8680555555555556,0.8690836357446282,0.8680555555555556,0.8679636089174753,0.8680555555555557,LogisticRegression,run_2,train
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_3,train
0.8375,0.8391354913742974,0.8375,0.8373038481966105,0.8375,SVC,run_3,train
0.8583333333333333,0.8592314118629907,0.8583333333333333,0.8582447362935167,0.8583333333333334,LogisticRegression,run_3,train
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_10,train
0.8791666666666667,0.879192999513855,0.8791666666666667,0.8791645688293199,0.8791666666666667,SVC,run_10,train
0.8777777777777778,0.8791939031568512,0.8777777777777778,0.8776635593416693,0.8777777777777779,LogisticRegression,run_10,train
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_1,train
0.8555555555555555,0.8556543484301196,0.8555555555555555,0.855545523994722,0.8555555555555555,SVC,run_1,train
0.8541666666666666,0.8551559513769064,0.8541666666666666,0.8540650414351043,0.8541666666666666,LogisticRegression,run_1,train
0.9986111111111112,0.9986149584487536,0.9986111111111112,0.9986111084319222,0.9986111111111112,RandomForestClassifier,run_4,train
0.8666666666666667,0.866949806949807,0.8666666666666667,0.866640941539649,0.8666666666666666,SVC,run_4,train
0.8694444444444445,0.8705882352941177,0.8694444444444445,0.8693436293436294,0.8694444444444446,LogisticRegression,run_4,train
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_7,train
0.8611111111111112,0.8612895256916997,0.8611111111111112,0.8610939622175579,0.8611111111111112,SVC,run_7,train
0.8652777777777778,0.866094145122998,0.8652777777777778,0.8652026303243899,0.8652777777777778,LogisticRegression,run_7,train
1.0,1.0,1.0,1.0,1.0,RandomForestClassifier,run_6,train
0.8708333333333333,0.8709048813428517,0.8708333333333333,0.8708271039305522,0.8708333333333333,SVC,run_6,train
0.8694444444444445,0.8705882352941177,0.8694444444444445,0.8693436293436294,0.8694444444444446,LogisticRegression,run_6,train
0.9986111111111112,0.9986149584487536,0.9986111111111112,0.9986111084319222,0.9986111111111112,RandomForestClassifier,run_8,train
0.8597222222222223,0.85972499787807,0.8597222222222223,0.859721951624135,0.8597222222222223,SVC,run_8,train
0.8583333333333333,0.8592314118629907,0.8583333333333333,0.8582447362935167,0.8583333333333334,LogisticRegression,run_8,train
