Feature,Importance,Model,Run
Extent,0.0606701195130624,RandomForestClassifier,run_20
Perimeter,0.2403870198494133,RandomForestClassifier,run_20
Area,0.8886868704576045,SVC,run_11
MajorAxisLength,-50.12569551752085,SVC,run_11
MinorAxisLength,-140.1528042971006,SVC,run_11
Eccentricity,0.2282871129276844,SVC,run_11
ConvexArea,-0.8259472544305027,SVC,run_11
Extent,-0.4913039790325723,SVC,run_11
Perimeter,82.4245525732847,SVC,run_11
Area,0.0005823264524042,LogisticRegression,run_11
MajorAxisLength,-0.0725824040849114,LogisticRegression,run_11
MinorAxisLength,-0.1150496891008152,LogisticRegression,run_11
Eccentricity,-0.0005047843051384,LogisticRegression,run_11
ConvexArea,-0.0004129862163307,LogisticRegression,run_11
Extent,-0.0007828120404434,LogisticRegression,run_11
Perimeter,0.0410779166903296,LogisticRegression,run_11
Area,0.0967892506575381,RandomForestClassifier,run_11
MajorAxisLength,0.2453883893496002,RandomForestClassifier,run_11
MinorAxisLength,0.0619157579669511,RandomForestClassifier,run_11
Eccentricity,0.0811058547209149,RandomForestClassifier,run_11
ConvexArea,0.1776050288111078,RandomForestClassifier,run_11
Extent,0.0662277498703342,RandomForestClassifier,run_11
Perimeter,0.2709679686235534,RandomForestClassifier,run_11
Area,-1.401875935960561,SVC,run_4
MajorAxisLength,-27.173733691827465,SVC,run_4
MinorAxisLength,-122.73564804361854,SVC,run_4
Eccentricity,-0.0033695275224072,SVC,run_4
ConvexArea,1.7226529433391988,SVC,run_4
Extent,-0.3449864908938708,SVC,run_4
Perimeter,19.99250453389618,SVC,run_4
Area,0.0001274560710499,LogisticRegression,run_4
MajorAxisLength,-0.0485980588937969,LogisticRegression,run_4
MinorAxisLength,-0.0891669054683097,LogisticRegression,run_4
Eccentricity,-0.0004571014734604,LogisticRegression,run_4
ConvexArea,2.4765332705156537e-05,LogisticRegression,run_4
Extent,-0.0006163069295572,LogisticRegression,run_4
Perimeter,0.0267093322074284,LogisticRegression,run_4
Area,0.1218399138503656,RandomForestClassifier,run_4
MajorAxisLength,0.2166131818623775,RandomForestClassifier,run_4
MinorAxisLength,0.0784647736147259,RandomForestClassifier,run_4
Eccentricity,0.0991727407374785,RandomForestClassifier,run_4
ConvexArea,0.1368036542669744,RandomForestClassifier,run_4
Extent,0.0681762206034873,RandomForestClassifier,run_4
Perimeter,0.2789295150645905,RandomForestClassifier,run_4
Area,0.6706473221711349,SVC,run_1
MajorAxisLength,-70.76746495029124,SVC,run_1
MinorAxisLength,-170.29797999100066,SVC,run_1
Eccentricity,0.4051112112424824,SVC,run_1
ConvexArea,-0.4014593822939787,SVC,run_1
Extent,-0.2860927522014348,SVC,run_1
Perimeter,60.25483366556659,SVC,run_1
Area,0.0005631233339422,LogisticRegression,run_1
MajorAxisLength,-0.0632318403174699,LogisticRegression,run_1
MinorAxisLength,-0.1047061609670728,LogisticRegression,run_1
Eccentricity,-0.000419060043397,LogisticRegression,run_1
ConvexArea,-0.0003991595941513,LogisticRegression,run_1
Extent,-0.000676577724974,LogisticRegression,run_1
Perimeter,0.035704896920895,LogisticRegression,run_1
Area,0.1289182952531382,RandomForestClassifier,run_1
MajorAxisLength,0.2403477995894022,RandomForestClassifier,run_1
MinorAxisLength,0.0724923184091368,RandomForestClassifier,run_1
Eccentricity,0.0785877550693289,RandomForestClassifier,run_1
ConvexArea,0.1545394368954212,RandomForestClassifier,run_1
Extent,0.0624225381640046,RandomForestClassifier,run_1
Perimeter,0.2626918566195678,RandomForestClassifier,run_1
Area,-0.7619989088270813,SVC,run_15
MajorAxisLength,-37.852203143332304,SVC,run_15
MinorAxisLength,-152.31827311145008,SVC,run_15
Eccentricity,0.0242581714630051,SVC,run_15
ConvexArea,1.1622084523551166,SVC,run_15
Extent,-0.6219396779521897,SVC,run_15
Perimeter,23.56970979550033,SVC,run_15
Area,0.0001609536737513,LogisticRegression,run_15
MajorAxisLength,-0.0525991925752238,LogisticRegression,run_15
MinorAxisLength,-0.0962023737876977,LogisticRegression,run_15
Eccentricity,-0.0004289032257151,LogisticRegression,run_15
ConvexArea,-1.4729497855921294e-06,LogisticRegression,run_15
Extent,-0.0006378081168999,LogisticRegression,run_15
Perimeter,0.0292115846192187,LogisticRegression,run_15
Area,0.1204578177708004,RandomForestClassifier,run_15
MajorAxisLength,0.2037147651927135,RandomForestClassifier,run_15
MinorAxisLength,0.0826954392716023,RandomForestClassifier,run_15
Eccentricity,0.0956761464160343,RandomForestClassifier,run_15
ConvexArea,0.1994700292609556,RandomForestClassifier,run_15
Extent,0.0633967188131346,RandomForestClassifier,run_15
Perimeter,0.2345890832747589,RandomForestClassifier,run_15
Area,0.6421417108504102,SVC,run_9
MajorAxisLength,-78.3366717678382,SVC,run_9
MinorAxisLength,-204.8022927472789,SVC,run_9
Eccentricity,0.6199015232628247,SVC,run_9
ConvexArea,-0.2489526402205228,SVC,run_9
Extent,-0.248458305347435,SVC,run_9
Perimeter,55.76258870769357,SVC,run_9
Area,0.0005247587402257,LogisticRegression,run_9
